scenario,group_id,window_idx,pkt_in,byte_in,avg_len,std_len,same_size_ratio,unique_src_port,top_port_pkt,iat_mean,iat_std,label
s5,r3_s5_multi_client_20251221_232101.pcap,1095,58,23650,407.7586206896552,506.79535114573133,0.25862068965517243,5,12,0.188856794123064,0.519813170481397,0
s5,r3_s5_multi_client_20251221_232101.pcap,484,113,47085,416.6814159292035,504.5358905725848,0.24778761061946902,10,12,2.735955374581473,27.206676721582728,0
s5,r3_s5_multi_client_20251221_232101.pcap,2324,59,23755,402.6271186440678,498.2310708321443,0.2542372881355932,5,12,0.140983482887005,0.33739040168595547,0
s5,r3_s5_multi_client_20251221_232101.pcap,795,91,45055,495.1098901098901,560.7745712782416,0.21978021978021978,10,11,3.526979022555881,31.498193436434825,0
s5,r3_s5_multi_client_20251221_232101.pcap,16,109,46725,428.6697247706422,512.8006579280918,0.24770642201834864,10,12,2.77516797736839,26.76449218380038,0
s5,r3_s5_multi_client_20251221_232101.pcap,2087,109,46686,428.3119266055046,519.1000097601476,0.22935779816513763,10,12,2.9200470006024397,28.297570475042047,0
s5,r3_s5_multi_client_20251221_232101.pcap,523,59,23755,402.6271186440678,498.2310708321444,0.2542372881355932,5,12,0.14634379025163322,0.28622196032847036,0
s5,r3_s5_multi_client_20251221_232101.pcap,2366,112,46940,419.10714285714283,515.0945710176304,0.24107142857142858,10,12,2.91448670464593,28.98414630552261,0
s5,r3_s5_multi_client_20251221_232101.pcap,1577,58,23670,408.1034482758621,500.74412523126676,0.2413793103448276,5,12,0.14582433198627673,0.28173972433657646,0
s5,r3_s5_multi_client_20251221_232101.pcap,482,116,47360,408.2758620689655,497.69083302732145,0.25,10,12,2.7657819830853008,27.837251725060447,0
s5,r3_s5_multi_client_20251221_232101.pcap,609,86,44690,519.6511627906976,556.6985273966734,0.26744186046511625,10,9,3.709882848403033,32.08309484277332,0
s5,r3_s5_multi_client_20251221_232101.pcap,430,49,22865,466.6326530612245,537.2457991736146,0.24489795918367346,5,12,0.19674996534983316,0.2995472415143146,0
s5,r3_s5_multi_client_20251221_232101.pcap,1639,54,23310,431.6666666666667,517.2801017859703,0.24074074074074073,5,12,0.17564251737774544,0.28792024350994594,0
s5,r3_s5_multi_client_20251221_232101.pcap,898,54,23290,431.2962962962963,523.5882121593347,0.2222222222222222,5,12,0.14597964736650576,0.41255354855496507,0
s5,r3_s5_multi_client_20251221_232101.pcap,1293,50,22950,459.0,534.5231519775359,0.24,5,11,0.18844799119599012,0.3322858153433545,0
s5,r3_s5_multi_client_20251221_232101.pcap,649,43,22315,518.953488372093,567.8064259688791,0.23255813953488372,5,10,0.23973555791945683,0.34214044065351196,0
s5,r3_s5_multi_client_20251221_232101.pcap,1609,114,47110,413.2456140350877,512.4369804883244,0.2543859649122807,10,12,2.980335623817106,29.28402620538297,0
s5,r3_s5_multi_client_20251221_232101.pcap,832,41,22145,540.1219512195122,573.1465225816277,0.24390243902439024,5,9,0.1978754997253418,0.3942113715840626,0
s5,r3_s5_multi_client_20251221_232101.pcap,69,112,46960,419.2857142857143,512.0166959570513,0.23214285714285715,10,12,2.9119564606262758,28.375265502810315,0
s5,r3_s5_multi_client_20251221_232101.pcap,561,49,22825,465.81632653061223,550.6011065271796,0.20408163265306123,5,11,0.17927090326944986,0.37995074771309584,0
s5,r3_s5_multi_client_20251221_232101.pcap,2274,117,47405,405.1709401709402,502.5014060548988,0.2564102564102564,10,12,2.708145256700187,27.252999296579244,0
s5,r3_s5_multi_client_20251221_232101.pcap,1854,111,46855,422.1171171171171,516.4281124150677,0.23423423423423423,10,12,2.7917016636241567,27.476445077502852,0
s5,r3_s5_multi_client_20251221_232101.pcap,964,112,46960,419.2857142857143,512.0166959570513,0.23214285714285715,10,12,2.8810823285901868,28.37162756838034,0
s5,r3_s5_multi_client_20251221_232101.pcap,845,97,45585,469.9484536082474,548.7307260524997,0.21649484536082475,10,12,3.327834109465281,30.692771160644867,0
s5,r3_s5_multi_client_20251221_232101.pcap,2337,109,46665,428.1192660550459,522.2256485250825,0.22935779816513763,10,12,2.895896081571226,27.93224189739912,0
s5,r3_s5_multi_client_20251221_232101.pcap,1719,113,47005,415.9734513274336,516.8034230306819,0.25663716814159293,10,12,2.9005536011287143,28.917141367041005,0
s5,r3_s5_multi_client_20251221_232101.pcap,1774,82,44290,540.1219512195122,573.1465225816277,0.24390243902439024,10,9,3.7581214198359736,31.80446307395231,0
s5,r3_s5_multi_client_20251221_232101.pcap,205,99,45795,462.57575757575756,539.2289499112653,0.23232323232323232,10,12,3.4512938285360533,32.04364246901273,0
